x,y,label,showSelected,PANEL,group
0.462916872792409,0.954545454545455,Age 16 +/- 2 years,16,1,1
0.462916872792409,0.954545454545455,Age 47 +/- 2 years,47.8620689655172,1,1
0.462916872792409,0.954545454545455,Age 58 +/- 2 years,58.4827586206897,1,1
0.462916872792409,0.954545454545455,Age 35 +/- 2 years,35.7241379310345,1,1
0.462916872792409,0.954545454545455,Age 23 +/- 2 years,23.5862068965517,1,1
0.462916872792409,0.954545454545455,Age 55 +/- 2 years,55.448275862069,1,1
0.462916872792409,0.954545454545455,Age 44 +/- 2 years,44.8275862068966,1,1
0.462916872792409,0.954545454545455,Age 43 +/- 2 years,43.3103448275862,1,1
0.462916872792409,0.954545454545455,Age 31 +/- 2 years,31.1724137931034,1,1
0.462916872792409,0.954545454545455,Age 41 +/- 2 years,41.7931034482759,1,1
0.462916872792409,0.954545454545455,Age 19 +/- 2 years,19.0344827586207,1,1
0.462916872792409,0.954545454545455,Age 50 +/- 2 years,50.8965517241379,1,1
0.462916872792409,0.954545454545455,Age 38 +/- 2 years,38.7586206896552,1,1
0.462916872792409,0.954545454545455,Age 49 +/- 2 years,49.3793103448276,1,1
0.462916872792409,0.954545454545455,Age 26 +/- 2 years,26.6206896551724,1,1
0.462916872792409,0.954545454545455,Age 37 +/- 2 years,37.2413793103448,1,1
0.462916872792409,0.954545454545455,Age 46 +/- 2 years,46.3448275862069,1,1
0.462916872792409,0.954545454545455,Age 56 +/- 2 years,56.9655172413793,1,1
0.462916872792409,0.954545454545455,Age 34 +/- 2 years,34.2068965517241,1,1
0.462916872792409,0.954545454545455,Age 52 +/- 2 years,52.4137931034483,1,1
0.462916872792409,0.954545454545455,Age 53 +/- 2 years,53.9310344827586,1,1
0.462916872792409,0.954545454545455,Age 22 +/- 2 years,22.0689655172414,1,1
0.462916872792409,0.954545454545455,Age 20 +/- 2 years,20.551724137931,1,1
0.462916872792409,0.954545454545455,Age 60 +/- 2 years,60,1,1
0.462916872792409,0.954545454545455,Age 29 +/- 2 years,29.6551724137931,1,1
0.462916872792409,0.954545454545455,Age 17 +/- 2 years,17.5172413793103,1,1
0.462916872792409,0.954545454545455,Age 28 +/- 2 years,28.1379310344828,1,1
0.462916872792409,0.954545454545455,Age 25 +/- 2 years,25.1034482758621,1,1
0.462916872792409,0.954545454545455,Age 32 +/- 2 years,32.6896551724138,1,1
0.462916872792409,0.954545454545455,Age 40 +/- 2 years,40.2758620689655,1,1
